"","baker","baker_age","series","episode","technical","result","signature_bake","show_stopper","baker_occupation","hometown"
"659","steph",28,10,3,3,"in",NA,NA,"shop assistant","chester"
"660","amelia",24,10,3,11,"out",NA,NA,"fashion designer","halifax"
"661","michael",26,10,3,6,"star baker",NA,NA,"theatre manager/fitness instructor","stratford-upon-avon"
"662","alice",28,10,4,8,"in",NA,NA,"geography teacher","essex"
"663","david",36,10,4,2,"in",NA,NA,"international health adviser","whitby"
"664","helena",40,10,4,9,"in",NA,NA,"online project manager","leeds"
"665","henry",20,10,4,3,"in",NA,NA,"student","durham"
"666","michael",26,10,4,7,"in",NA,NA,"theatre manager/fitness instructor","stratford-upon-avon"
"667","michelle",35,10,4,5,"in",NA,NA,"print shop administrator","tenby, wales"
"668","priya",34,10,4,10,"in",NA,NA,"marketing consultant","leicester"
"669","rosie",28,10,4,4,"in",NA,NA,"veterinary surgeon","somerset"
"670","phil",56,10,4,6,"out",NA,NA,"hgv driver","rainham"
"671","steph",28,10,4,1,"star baker",NA,NA,"shop assistant","chester"
"672","alice",28,10,5,6,"in",NA,NA,"geography teacher","essex"
"673","david",36,10,5,9,"in",NA,NA,"international health adviser","whitby"
"674","henry",20,10,5,3,"in",NA,NA,"student","durham"
"675","michael",26,10,5,8,"in",NA,NA,"theatre manager/fitness instructor","stratford-upon-avon"
"676","priya",34,10,5,2,"in",NA,NA,"marketing consultant","leicester"
"677","rosie",28,10,5,5,"in",NA,NA,"veterinary surgeon","somerset"
"678","helena",40,10,5,1,"out",NA,NA,"online project manager","leeds"
"679","michelle",35,10,5,7,"out",NA,NA,"print shop administrator","tenby, wales"
"680","steph",28,10,5,4,"star baker",NA,NA,"shop assistant","chester"
"681","alice",28,10,6,1,"in",NA,NA,"geography teacher","essex"
"682","david",36,10,6,2,"in",NA,NA,"international health adviser","whitby"
"683","henry",20,10,6,4,"in",NA,NA,"student","durham"
"684","michael",26,10,6,6,"in",NA,NA,"theatre manager/fitness instructor","stratford-upon-avon"
"685","rosie",28,10,6,5,"in",NA,NA,"veterinary surgeon","somerset"
"686","priya",34,10,6,7,"out",NA,NA,"marketing consultant","leicester"
"687","steph",28,10,6,3,"star baker",NA,NA,"shop assistant","chester"
"688","alice",28,10,7,6,"in",NA,NA,"geography teacher","essex"
"689","david",36,10,7,2,"in",NA,NA,"international health adviser","whitby"
"690","rosie",28,10,7,1,"in",NA,NA,"veterinary surgeon","somerset"
"691","steph",28,10,7,4,"in",NA,NA,"shop assistant","chester"
"692","michael",26,10,7,5,"out",NA,NA,"theatre manager/fitness instructor","stratford-upon-avon"
"693","henry",20,10,7,3,"star baker",NA,NA,"student","durham"
"694","alice",28,10,8,3,"in",NA,NA,"geography teacher","essex"
"695","david",36,10,8,1,"in",NA,NA,"international health adviser","whitby"
"696","rosie",28,10,8,2,"in",NA,NA,"veterinary surgeon","somerset"
"697","henry",20,10,8,5,"out",NA,NA,"student","durham"
"698","steph",28,10,8,4,"star baker",NA,NA,"shop assistant","chester"
"699","david",36,10,9,2,"in",NA,NA,"international health adviser","whitby"
"700","steph",28,10,9,3,"in",NA,NA,"shop assistant","chester"
"701","rosie",28,10,9,1,"out",NA,NA,"veterinary surgeon","somerset"
"702","alice",28,10,9,4,"star baker",NA,NA,"geography teacher","essex"
"703","alice",28,10,10,2,"runner-up",NA,NA,"geography teacher","essex"
"704","steph",28,10,10,3,"runner-up",NA,NA,"shop assistant","chester"
"705","david",36,10,10,1,"winner",NA,NA,"international health adviser","whitby"
